total_bill,tip,dessert,day,time,size
18.175801079435516,4.444363061128539,No,Sat,Dinner,2
20.973113854095768,2.223182485406694,No,Sat,Dinner,2
14.35782391174993,2.055796531546451,No,Sat,Dinner,2
38.05651978523281,5.788792671923746,No,Sat,Dinner,4
18.0615760976758,3.172891640756287,No,Sat,Dinner,2
16.66954624625521,2.3924257075838624,No,Sat,Dinner,4
14.508945303267787,2.1592992599207386,No,Sat,Dinner,2
13.80168263582779,1.9564672821617755,No,Sat,Dinner,2
22.629162350263964,3.3685753075447202,No,Sat,Dinner,2
20.56446230300261,2.456507320769813,No,Sat,Dinner,2
9.476938061665066,1.3108727449178394,No,Sat,Dinner,2
19.93297841211383,2.5466107740367603,No,Sat,Dinner,4
14.778137772942513,3.050709119346384,No,Sat,Dinner,2
21.448105478442155,2.1620304877295404,No,Sat,Dinner,4
18.313100826924707,3.381325654914046,No,Sat,Dinner,2
24.535258039725306,2.89796744343925,No,Sat,Dinner,3
15.403292496963902,2.0342681387095642,No,Sat,Dinner,3
17.54746137469578,2.884031302426313,No,Sat,Dinner,3
20.103174459127573,2.024163110523155,No,Sat,Dinner,3
33.1256697645598,3.719791471590913,No,Sat,Dinner,3
15.821863210936243,2.1060321904095165,No,Sat,Dinner,3
18.9192307413011,2.297924365142314,No,Sun,Dinner,2
14.725752293502195,3.2309683456589378,No,Sun,Dinner,2
10.11705253888419,1.1914781934805965,No,Sun,Dinner,2
28.119116536416723,4.892254916059598,No,Sun,Dinner,4
19.81285630773295,3.1530416875766916,No,Sun,Dinner,2
21.730763078124898,4.371026411803333,No,Sun,Dinner,2
31.071143455015143,4.639942545237258,No,Sun,Dinner,4
29.216536378065555,1.7884182053379423,No,Sun,Dinner,3
17.923989194164474,2.8820210515552684,No,Sun,Dinner,2
11.926389997176164,2.456818868874217,No,Sun,Dinner,2
10.987653538953197,2.4273507121829696,No,Sun,Dinner,2
32.572546886828086,3.988270819461051,No,Sun,Dinner,4
9.39750297134542,1.5400109198241123,No,Sun,Dinner,2
26.377288392127372,3.6119914311580974,No,Sun,Dinner,4
19.408595123177427,3.5568754681437307,No,Sun,Dinner,2
34.76734669645121,2.287438564358743,Yes,Sat,Dinner,4
24.502987096446095,1.388306792119655,No,Sat,Dinner,2
10.368466548819239,1.6993956501187895,Yes,Sat,Dinner,2
48.05553605614904,4.601204488796724,No,Sat,Dinner,4
20.45352209837937,2.841958440342491,Yes,Sat,Dinner,2
15.075192237624046,2.1412134254555553,Yes,Sat,Dinner,2
11.204678254377312,1.791494255328198,Yes,Sat,Dinner,2
18.387537245188593,3.5708497225320617,Yes,Sat,Dinner,4
19.075520139355497,2.5835364878698734,No,Sat,Dinner,3
21.76373617805416,2.530399865654895,No,Sat,Dinner,3
15.63410916505445,2.447690140381124,No,Sat,Dinner,2
3.182136422979718,1.0665005514289665,Yes,Sat,Dinner,1
22.108461175862622,1.7472830087965858,No,Sat,Dinner,2
14.190338864368284,1.9235651183857814,Yes,Sat,Dinner,2
12.539305345278784,1.9349345666507227,No,Sat,Dinner,2
18.08655300697686,3.244075522250057,No,Sat,Dinner,3
29.2062274445075,2.5404571250184462,Yes,Sat,Dinner,2
27.068420938691045,3.943572388054868,Yes,Sat,Dinner,2
14.498873946544768,2.085486616873217,No,Sat,Dinner,2
9.470434604345446,1.3512125695851895,No,Sat,Dinner,2
16.252957338352566,2.979050823320112,Yes,Sat,Dinner,2
24.555645189316607,3.169783878562657,No,Thur,Lunch,4
23.164718003465072,2.447735616234952,No,Thur,Lunch,2
16.88539012691381,2.746526018777148,No,Thur,Lunch,2
17.94241607630338,2.960502146247791,Yes,Thur,Lunch,2
17.874360757615023,3.476794824779819,No,Thur,Lunch,2
10.717817261038078,1.8467628779899854,No,Thur,Lunch,1
34.23224565256005,3.7596842502969228,Yes,Thur,Lunch,2
17.0677399677865,2.1583724190406137,No,Thur,Lunch,2
34.144051734755585,4.008462399591312,No,Thur,Lunch,4
13.677903723320705,1.906546633319622,No,Thur,Lunch,2
18.49800525168566,4.283078234289615,No,Thur,Lunch,2
25.26962009056434,4.743509590116307,No,Thur,Lunch,2
20.305566188951776,2.432047982294834,No,Thur,Lunch,2
29.563184931171065,2.761172988095293,Yes,Fri,Dinner,2
22.155694424564423,2.954087165889245,No,Fri,Dinner,2
5.794326042560173,1.021098669724888,Yes,Fri,Dinner,2
16.276686253740454,4.148690283636296,Yes,Fri,Dinner,2
22.74950695328629,2.9582996290124965,No,Fri,Dinner,2
43.52386948284698,3.7470693205615304,Yes,Fri,Dinner,4
25.986257030572876,3.598860004274141,Yes,Fri,Dinner,2
10.946572632886966,1.454234301090767,Yes,Fri,Dinner,2
20.853231907678907,2.3943343193909357,Yes,Fri,Dinner,2
12.231281804506603,1.591741131600113,No,Fri,Dinner,2
11.320588701115609,2.3602981039090642,Yes,Fri,Dinner,2
14.058906534281508,3.1396760522922396,Yes,Fri,Dinner,2
45.02748229492708,1.9115033326893847,Yes,Sat,Dinner,3
24.603805743827298,2.694514255005909,Yes,Sat,Dinner,2
19.702826099894153,3.867065368930538,No,Sat,Dinner,2
14.476419434879368,1.572361836555575,Yes,Sat,Dinner,2
22.379731432879968,3.2140191411285435,Yes,Sat,Dinner,2
26.25346244676114,3.6950177753049425,Yes,Sat,Dinner,2
18.579148041593697,3.6538429324641357,No,Sat,Dinner,2
13.968999589027465,3.857303660105501,Yes,Sat,Dinner,2
14.388473389924787,3.220640939947423,No,Sat,Dinner,2
7.25352142522146,0.9612497957236208,No,Sat,Dinner,1
34.94668447073728,2.8932724765650737,No,Sun,Dinner,3
22.978466654594612,1.979002842287352,No,Sun,Dinner,2
27.39731765205542,3.0943758528299643,No,Sun,Dinner,3
16.186428553219766,3.5654627193910873,No,Sun,Dinner,2
32.35127389101715,3.4530691289779916,No,Sun,Dinner,4
10.838110586021038,1.44949434334686,No,Thur,Lunch,2
11.228104659585105,1.6942478429625556,No,Thur,Lunch,2
23.45402680337724,2.3877759134996555,No,Thur,Lunch,4
10.619498777857824,2.5173435602499814,No,Thur,Lunch,2
12.419620998471576,1.795154676020988,No,Thur,Lunch,2
13.345272980372473,2.5977342573625464,No,Thur,Lunch,2
14.886002886690244,2.0354776369877903,No,Thur,Lunch,2
13.437686487523713,2.6915352378231585,No,Thur,Lunch,2
32.219474203705985,3.045336395090485,No,Thur,Lunch,6
8.06912326747265,1.589278447011993,No,Thur,Lunch,2
14.25068282056515,2.0881415466124,No,Thur,Lunch,2
11.314360518231876,1.8724852450398461,No,Thur,Lunch,2
24.32718805692494,1.940572302763716,No,Thur,Lunch,3
18.286301085814024,1.5454411537208181,No,Thur,Lunch,2
18.947700867914943,2.7992194247714495,No,Thur,Lunch,2
11.076491704301043,1.4548338313691471,No,Thur,Lunch,2
13.246756307815842,2.068780130076937,No,Thur,Lunch,2
18.606709649128923,3.089552419312359,No,Thur,Lunch,2
8.361267893312796,1.2118984827997392,No,Thur,Lunch,2
10.13507483600905,1.9558379095395722,No,Thur,Lunch,2
13.608010189347324,2.081567516935687,No,Thur,Lunch,2
15.417211938890933,2.006457825428219,Yes,Thur,Lunch,2
12.936506393874273,2.984012942363231,No,Thur,Lunch,2
17.952755741264333,3.795544775944792,No,Thur,Lunch,2
36.32554888859136,4.696220709422632,No,Thur,Lunch,6
37.376081257347465,3.6747199221598335,No,Thur,Lunch,5
28.318867337617135,4.630993440811993,No,Thur,Lunch,6
17.325667855062452,2.340268659789183,No,Thur,Lunch,2
7.923188960049771,1.594705410655473,No,Thur,Lunch,2
20.448366532026498,1.0720551222704358,No,Thur,Lunch,3
12.285463875134573,1.6390092129924394,No,Thur,Lunch,2
10.548247823891407,1.803666011290361,No,Thur,Lunch,2
7.124068160160192,2.080973381836157,No,Thur,Lunch,2
12.808472198686978,2.343958176956546,No,Sun,Dinner,2
13.680785284732798,1.8265905675474383,No,Sun,Dinner,2
18.83847640665717,2.9543113998145456,No,Sun,Dinner,3
22.20712091847785,1.6193463972752244,No,Sun,Dinner,4
21.403565538525015,1.8454587710640467,No,Sun,Dinner,4
31.212794062442242,3.592097594258279,No,Sun,Dinner,5
52.55737485035556,3.436612024148075,No,Sun,Dinner,6
23.865677241829303,3.131780756565874,No,Sun,Dinner,4
12.507849425687244,2.7504101676902826,No,Sun,Dinner,2
15.904938156769349,1.8541333328125873,No,Sun,Dinner,4
20.542125381388256,3.02506174188165,No,Sun,Dinner,4
12.636205411061605,2.6842130587421176,No,Sun,Dinner,2
15.012780449613038,1.9012268447694876,No,Sun,Dinner,3
14.467863480233817,1.826359121638187,No,Sun,Dinner,2
16.250413154266788,2.9642183603066004,Yes,Sun,Dinner,2
24.866471071056864,2.8478240606625542,No,Sun,Dinner,3
20.89841909869196,1.8759214204160186,No,Sun,Dinner,2
30.020003092338065,3.0852571173115813,No,Sun,Dinner,4
10.541061587410658,1.4797584120940057,Yes,Sat,Dinner,2
10.55504185467347,1.8965859281044537,Yes,Sat,Dinner,2
53.91988800956895,6.992240233362919,Yes,Sat,Dinner,3
14.287766122102846,3.1980063129386775,Yes,Sat,Dinner,2
7.558584047699566,5.403215005624121,Yes,Sun,Dinner,2
30.263827717098703,2.506059501260486,Yes,Sun,Dinner,2
17.360011351906632,4.204615911704682,Yes,Sun,Dinner,2
33.797814406690776,2.21718837453189,Yes,Sun,Dinner,2
16.30490186517956,1.8236672817680433,Yes,Sun,Dinner,2
15.113962053650905,2.169899242926208,Yes,Sun,Dinner,2
9.292652990075243,3.924647443452894,Yes,Sun,Dinner,2
34.97382650624491,2.362973156969078,Yes,Sun,Dinner,2
36.343137107426756,2.7116551116744496,Yes,Sun,Dinner,4
21.82994043814429,4.5996884543633225,Yes,Sun,Dinner,2
43.08888621618799,2.316565449962454,Yes,Sun,Dinner,3
21.47339854759345,5.88751174551331,Yes,Sun,Dinner,4
37.71777778771432,2.1918404306700423,Yes,Sun,Dinner,2
22.506707550137644,3.9391643109758303,No,Sun,Dinner,5
22.870673066296707,2.8125818465165384,Yes,Sun,Dinner,3
28.282454738741375,1.7605461845261472,Yes,Sun,Dinner,5
17.045989993797487,3.6988072207376352,Yes,Sun,Dinner,3
21.253838013761577,3.207282698348199,Yes,Sun,Dinner,3
14.37772753072291,1.466760034409294,Yes,Sun,Dinner,2
20.87330441341948,3.6557384147894476,Yes,Thur,Lunch,2
26.792509163060867,1.9857948689283946,Yes,Thur,Lunch,2
15.362898280609487,1.9941155444374696,Yes,Thur,Lunch,2
15.200577279777045,4.1407500506656465,Yes,Thur,Lunch,2
7.305231452950823,1.5018738378529164,No,Thur,Lunch,2
11.349857756040414,1.8629995125099736,Yes,Thur,Lunch,2
46.56114556248617,3.3247956981277897,Yes,Thur,Lunch,4
13.949854371781068,2.0733445002338478,Yes,Thur,Lunch,2
13.197279961610596,2.0319434503456315,Yes,Thur,Lunch,2
19.460587912765213,3.633194810074986,Yes,Thur,Lunch,3
11.560606488671846,1.962705009313073,Yes,Thur,Lunch,2
13.003448169856192,2.0431216676085944,Yes,Thur,Lunch,2
15.133569325043087,2.5742410693920585,Yes,Thur,Lunch,2
21.489530433371943,3.0820060026276748,Yes,Thur,Lunch,4
16.261887724179743,3.0818012846942415,Yes,Thur,Lunch,3
25.669913614870904,2.6405357493085755,Yes,Sat,Dinner,3
40.6781314525076,2.147465367934921,Yes,Sat,Dinner,4
23.120177912916425,1.8614459500377774,Yes,Sat,Dinner,2
12.722011773075042,2.232116283321613,Yes,Sat,Dinner,2
27.093442449370812,1.8217957589987592,Yes,Sat,Dinner,3
23.32829401455485,4.293903997048599,Yes,Sat,Dinner,4
48.98399011676581,6.6728954081532095,No,Sat,Dinner,4
12.87979058200506,2.2882703213372735,Yes,Sat,Dinner,2
27.46612533254135,5.341829139391324,Yes,Sat,Dinner,3
12.551950415493788,0.9988307633798815,Yes,Sat,Dinner,2
27.074833146188727,2.601074202582816,Yes,Sat,Dinner,5
10.827139971293732,1.5223699228827687,Yes,Sat,Dinner,2
8.481685287596209,1.5528143604131408,Yes,Sat,Dinner,2
31.798117554416194,2.2246325258347857,Yes,Sat,Dinner,4
13.308281845521893,2.0192581164838015,Yes,Fri,Lunch,2
13.488342364955352,3.772108165966974,Yes,Fri,Lunch,2
8.131187604926142,1.8143635822149895,Yes,Fri,Lunch,1
15.932502877558449,3.130969717032126,No,Fri,Lunch,3
13.659527874129177,1.680146536884245,Yes,Fri,Lunch,2
16.271570231816746,2.598371924102255,Yes,Fri,Lunch,2
9.948083698117857,2.156853020400787,Yes,Fri,Lunch,2
19.430972566543574,2.83390922480676,No,Sat,Dinner,4
12.104532965071368,2.5647706938154036,No,Sat,Dinner,2
22.75427268212864,2.3524891468886144,Yes,Sat,Dinner,2
22.816679642342695,1.6212918244783388,Yes,Sat,Dinner,4
14.721952338080635,3.2167328361927687,Yes,Sat,Dinner,3
11.63483930414559,3.314579168757235,No,Sat,Dinner,2
10.513083353842834,1.4387051458088447,No,Sat,Dinner,2
16.824945067251466,2.92072918895227,Yes,Sat,Dinner,2
9.168181156415745,1.3640493994991478,No,Sat,Dinner,2
12.291400070237064,0.9143538260620041,Yes,Sat,Dinner,2
32.81503886296297,0.800674983078561,Yes,Sat,Dinner,2
36.39855325717308,3.0519748911635403,No,Sat,Dinner,3
30.815619232033566,4.5996650076243455,No,Sat,Dinner,3
29.313646563466044,1.7186241653436007,Yes,Sat,Dinner,2
22.543714382936336,1.5849802619271272,Yes,Sat,Dinner,2
16.389723169922576,1.725007289258779,No,Sat,Dinner,2
19.63428422379576,3.00790091685366,No,Thur,Dinner,2
16.751827817276595,1.087379806578584,No,Sun,Dinner,2
9.31091039488234,1.556777464562056,No,Sun,Dinner,3
22.98622518455418,3.2722975828478056,No,Sun,Dinner,3
25.960101748737927,2.550360459079456,No,Sun,Dinner,2
24.354723827306962,3.1814551405245783,No,Sun,Dinner,4
25.76629572015265,3.6970768629422746,No,Sun,Dinner,4
7.942237589006811,2.0192912979630835,No,Sun,Dinner,2
27.585960067115845,2.695448081914297,No,Sun,Dinner,4
16.090587265254733,1.8602959199831886,No,Sun,Dinner,2
15.8149675549794,3.0130100112479337,No,Sun,Dinner,2
11.207571522817988,1.7513464469546178,No,Sun,Dinner,2
33.478703547669525,3.9142919133948144,No,Sun,Dinner,4
16.656841386174566,1.516861741112331,No,Sun,Dinner,2
19.80207849769481,2.7527694637095843,No,Sun,Dinner,4
15.215387826910518,3.15842798094963,No,Sun,Dinner,2
20.708253665410712,3.119971744451343,No,Sun,Dinner,2
10.23619321789592,1.6279300878503966,No,Sun,Dinner,3
16.907857585026495,3.970541024705361,No,Sun,Dinner,3
18.479727055527555,3.686732074394653,No,Sun,Dinner,3
22.64328332677709,2.91501329755125,No,Sat,Dinner,3
16.989137143873343,4.181456758145398,No,Sat,Dinner,2
20.831454557033272,2.1425162000331213,No,Sat,Dinner,2
15.21061971341747,2.3372848037193417,No,Sat,Dinner,2
38.18760290675657,5.444419478613897,No,Sat,Dinner,4
19.77472052524242,3.0699662337979645,No,Sat,Dinner,2
18.824817484372126,2.323822161898895,No,Sat,Dinner,4
12.128708453743405,1.814129080091981,No,Sat,Dinner,2
12.482873793193457,1.8459963336905802,No,Sat,Dinner,2
20.349439005697455,3.6846694995289506,No,Sat,Dinner,2
19.08259424671053,2.92182064902819,No,Sat,Dinner,2
10.311562545023246,1.5056628735812705,No,Sat,Dinner,2
20.05821287308669,2.01503406802307,No,Sat,Dinner,4
14.86423077491196,2.940195902955985,No,Sat,Dinner,2
21.937843315864644,2.1504717735336087,No,Sat,Dinner,4
18.733456036420932,3.372115424189916,No,Sat,Dinner,2
22.535329863797156,2.8575901985531424,No,Sat,Dinner,3
14.753212644753678,2.181575742872127,No,Sat,Dinner,3
17.365263589990477,2.922232907947207,No,Sat,Dinner,3
18.199704182079014,2.376940591026971,No,Sat,Dinner,3
28.243428393693154,4.293037635726846,No,Sat,Dinner,3
16.655101622511673,2.4234307121281256,No,Sat,Dinner,3
17.74723821618365,2.723737588567604,No,Sun,Dinner,2
